Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Misc,,,,Passing,Rushing,Receiving,,,,,,,,,,,,,,,,,
Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2014,7,Terrence Fede,234,DE,2017,0,0,0,5,51,0,0,0,0,0,,,0,,,0,,1.0,Marist
Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2013,1,Dion Jordan,3,DE,2020,0,0,0,9,63,0,0,0,0,0,,,0,,,0,,13.5,Oregon
2013,2,Jamar Taylor,54,DB,2020,0,0,2,18,98,0,0,0,0,0,,,0,,,0,5,1.5,Boise St.
2013,3,Dallas Thomas,77,T,2016,0,0,1,13,37,0,0,0,0,0,,,0,,,0,,,Tennessee
2013,3,Will Davis,93,DB,2016,0,0,0,0,20,0,0,0,0,0,,,0,,,0,1,,Utah St.
2013,4,Jelani Jenkins,104,LB,2017,0,0,3,15,60,0,0,0,0,0,,,0,,,0,,3.5,Florida
2013,4,Dion Sims,106,TE,2018,0,0,2,8,78,0,0,0,0,0,,,0,91,888,9,,,Michigan St.
2013,5,Mike Gillislee,164,RB,2018,0,0,0,11,36,0,0,0,0,0,274,1291,16,17,103,1,,,Florida
2013,5,Caleb Sturgis,166,K,2018,0,0,0,8,68,0,0,0,0,0,,,0,,,0,,,Florida
2013,7,Don Jones,250,DB,2016,0,0,0,2,56,0,0,0,0,0,,,0,,,0,,,Arkansas St.
Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,1,Ryan Tannehill,8,QB,2023,0,1,10,91,155,3063,4764,34881,216,115,440,2103,27,4,8,1,,,Texas A&M
2012,2,Jonathan Martin,42,T,2014,0,0,2,14,38,0,0,0,0,0,,,0,,,0,,,Stanford
2012,3,Olivier Vernon,72,LB,2020,0,1,8,50,127,0,0,0,0,0,,,0,,,0,1,63.5,Miami (FL)
2012,3,Michael Egnew,78,TE,2013,0,0,0,0,18,0,0,0,0,0,,,0,7,69,0,,,Missouri
2012,4,Lamar Miller,97,RB,2020,0,1,6,42,106,0,0,0,0,0,1354,5864,32,211,1571,8,,,Miami (FL)
2012,5,Josh Kaddu,155,LB,2014,0,0,0,0,6,0,0,0,0,0,,,0,,,0,,,Oregon
2012,6,B.J. Cunningham,183,WR,2013,0,0,0,0,2,0,0,0,0,0,,,0,,,0,,,Michigan St.
2012,7,Kheeston Randall,215,DT,2012,0,0,0,1,12,0,0,0,0,0,,,0,,,0,,,Texas
